navn,parti,hjemfylke
abid q raja,Venstre,Akershus
akhtar chaudhry,Sosialistisk Venstreparti,Oslo
aksel hagen,Sosialistisk Venstreparti,Hedmark
alf egil holmelid,Sosialistisk Venstreparti,Sogn og Fjordane
anders b werp,Høyre,Buskerud
andré n skjelstad,Venstre,Nord-Trøndelag
andré oktay dahl,Høyre,Akershus
anette trettebergstuen,Arbeiderpartiet,Hedmark
anita apelthun sæle,Kristelig Folkeparti,Hordaland
anne tingelstad wøien,Senterpartiet,Buskerud
anniken huitfeldt,Arbeiderpartiet,Akershus
ansgar gabrielsen,Høyre,Vest-Agder
arild grande,Arbeiderpartiet,Sør-Trøndelag
arne lyngstad,Kristelig Folkeparti,Nord-Trøndelag
arve kambe,Høyre,Rogaland
asmund kristoffersen,Arbeiderpartiet,Nordland
audun lysbakken,Sosialistisk Venstreparti,Hordaland
bendiks h arnesen,Arbeiderpartiet,Troms
bente thorsen,Fremskrittspartiet,Rogaland
bjørg tørresdal,Kristelig Folkeparti,Rogaland
bjørn hernæs,Høyre,Hedmark
bjørn jacobsen,Sosialistisk Venstreparti,Nordland
bjørn lødemel,Høyre,Sogn og Fjordane
bjørn tore godal,Arbeiderpartiet,Telemark
borghild tenden,Venstre,Sogn og Fjordane
